episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
89,8231.66,8344.10,112.44,170.076,43.289,15.896,21,0,1,0,49,9,1,1.650,0,9,5,7
90,8344.10,8413.50,69.40,171.291,30.460,7.791,20,0,0,0,45,14,0,0.450,0,18,1,1
91,8413.50,8482.96,69.46,165.246,29.659,4.649,20,0,0,0,50,7,0,3.000,0,14,1,5
92,8482.96,8600.04,117.08,208.467,32.167,5.832,22,0,1,0,52,8,2,5.850,0,12,5,5
93,8600.04,8702.00,101.96,180.874,31.567,6.398,21,0,1,0,54,9,1,1.800,0,12,0,9
94,8702.00,8771.94,69.94,164.901,27.422,2.199,20,0,0,0,50,9,0,1.200,0,16,0,4
95,8771.94,8874.82,102.88,189.612,28.330,2.966,21,0,1,0,55,8,1,2.400,0,11,2,8
96,8874.82,8983.40,108.58,209.894,37.114,12.357,21,0,1,0,55,13,1,1.500,0,15,1,5
97,8983.40,9052.44,69.04,146.203,49.003,18.580,20,0,0,0,40,8,0,2.850,0,11,6,3
98,9052.44,9153.66,101.22,200.365,26.242,0.883,21,0,1,0,56,7,1,2.400,0,15,0,6
99,9153.66,9267.76,114.10,253.887,31.571,3.974,23,0,1,0,57,16,3,6.000,0,17,1,5
100,9267.76,9337.24,69.48,156.812,25.364,0.433,20,0,0,0,52,5,0,0.000,0,15,0,5
101,9337.24,9454.38,117.14,220.787,25.573,1.983,21,0,1,0,55,13,1,6.600,0,17,2,2
102,9454.38,9570.50,116.12,190.859,29.358,3.358,22,0,1,0,46,10,2,3.000,0,15,6,1
103,9570.50,9683.36,112.86,218.303,29.440,3.266,22,0,1,0,57,12,2,4.500,0,11,4,7
104,9683.36,9790.46,107.10,193.645,30.459,5.325,21,0,1,0,53,11,1,3.150,0,14,2,5
105,9790.46,9902.32,111.86,226.502,29.689,3.399,22,0,1,0,57,11,2,4.650,0,16,1,5
106,9902.32,10010.04,107.72,215.877,27.602,0.600,21,0,1,0,62,11,1,4.200,0,15,0,6
107,10010.04,10077.88,67.84,167.645,25.859,1.766,20,0,0,0,52,7,0,1.050,0,13,3,4
108,10077.88,10146.32,68.44,183.029,29.543,6.182,20,0,0,0,52,12,0,4.200,0,14,1,5
109,10146.32,10261.30,114.98,217.555,27.806,2.783,22,0,1,0,55,13,2,5.550,0,17,1,4
110,10261.30,10327.80,66.50,157.121,30.143,5.658,20,0,0,0,48,8,0,2.550,0,11,2,7
111,10327.80,10442.10,114.30,211.334,27.500,1.000,21,0,1,0,52,14,1,7.200,0,16,2,3
112,10442.10,10544.44,102.34,175.236,30.765,1.333,21,0,1,0,50,10,1,3.900,0,11,1,9
113,10544.44,10613.04,68.60,170.348,29.725,6.165,20,0,0,0,47,11,0,3.300,0,16,1,3
114,10613.04,10730.36,117.32,223.668,28.111,1.716,22,0,1,0,58,11,2,8.400,0,14,3,6
115,10730.36,10840.98,110.62,233.795,34.903,5.849,23,0,1,0,57,11,3,4.500,0,13,2,8
116,10840.98,10944.86,103.88,217.361,26.549,0.450,21,0,1,0,58,9,1,4.650,0,14,0,7
117,10944.86,11061.58,116.72,269.781,36.352,8.382,23,0,1,0,61,15,3,8.550,0,21,1,1
118,11061.58,11129.24,67.66,176.154,26.249,3.483,20,0,0,0,47,11,0,1.950,0,16,2,2
119,11129.24,11235.00,105.76,200.313,28.182,2.716,21,0,1,0,55,9,1,4.500,0,16,0,5
120,11235.00,11338.52,103.52,207.395,25.877,1.716,21,0,1,0,52,13,1,3.450,0,13,3,5
121,11338.52,11463.48,124.96,279.141,32.744,4.032,24,0,1,0,62,11,4,6.000,0,17,3,4
122,11463.48,11575.36,111.88,176.188,33.178,6.865,21,0,1,0,48,10,1,1.650,0,14,2,5
123,11575.36,11680.14,104.78,249.453,29.166,2.866,22,0,1,0,61,15,2,6.300,0,21,1,0
124,11680.14,11794.74,114.60,209.738,28.789,1.733,22,0,1,0,51,12,2,3.000,0,14,5,3
125,11794.74,11901.76,107.02,194.018,25.482,1.433,21,0,1,0,49,9,1,5.100,0,16,1,4
126,11901.76,12029.42,127.66,219.768,36.552,9.015,22,0,1,0,59,10,2,3.000,0,14,3,5
127,12029.42,12138.54,109.12,215.748,27.968,3.424,21,0,1,0,54,10,1,3.000,0,17,1,3
128,12138.54,12243.22,104.68,202.836,24.677,1.966,21,0,1,0,52,12,1,2.850,0,16,2,3
129,12243.22,12353.74,110.52,229.352,42.165,9.014,22,0,1,0,53,11,2,4.950,0,17,2,3
130,12353.74,12456.66,102.92,210.654,26.194,2.883,21,0,1,0,58,8,1,6.000,0,15,0,6
131,12456.66,12572.28,115.62,196.293,23.916,1.083,21,0,1,0,56,10,1,4.500,0,13,0,8
132,12572.28,12742.34,170.06,313.654,30.709,0.883,25,0,2,0,70,17,5,10.200,0,19,4,2
133,12742.34,12866.42,124.08,217.693,28.834,1.116,21,0,1,0,54,15,1,3.900,0,18,2,1
134,12866.42,12935.62,69.20,148.137,24.490,1.483,20,0,0,0,48,8,0,0.000,0,10,2,8
135,12935.62,13063.86,128.24,277.697,27.719,2.416,23,0,1,0,70,13,3,6.000,0,19,2,2
136,13063.86,13175.06,111.20,214.799,28.984,3.374,21,0,1,0,58,14,1,2.850,0,18,1,2
137,13175.06,13276.64,101.58,184.525,25.600,2.149,21,0,1,0,50,9,1,3.000,0,15,2,4
138,13276.64,13375.00,98.36,215.703,24.888,2.325,21,0,1,0,55,12,1,2.550,0,15,3,3
139,13375.00,13499.68,124.68,308.375,27.340,1.350,24,0,1,0,75,14,4,7.050,0,17,2,5
140,13499.68,13622.96,123.28,265.797,28.883,1.800,23,0,1,0,67,15,3,5.400,0,19,1,3
141,13622.96,13740.66,117.70,232.084,24.863,1.133,22,0,1,0,61,11,2,3.000,0,18,1,3
142,13740.66,13853.40,112.74,272.607,31.184,3.199,23,0,1,0,60,15,3,7.650,0,19,2,3
143,13853.40,13960.24,106.84,210.590,33.447,10.524,21,0,1,0,56,12,1,1.500,0,15,2,4
144,13960.24,14072.30,112.06,197.838,29.383,3.599,21,0,1,0,54,7,1,5.700,0,17,1,3
145,14072.30,14142.10,69.80,186.398,31.270,3.866,20,0,0,0,50,13,0,4.350,0,17,1,2
146,14142.10,14249.88,107.78,214.363,29.050,2.449,22,0,1,0,53,14,2,6.000,0,12,3,7
147,14249.88,14379.26,129.38,213.063,26.567,2.574,21,0,1,0,52,17,1,4.800,0,15,1,5
148,14379.26,14445.32,66.06,185.486,24.754,2.166,20,0,0,0,51,8,0,3.300,0,14,2,4
149,14445.32,14512.84,67.52,161.635,39.685,17.101,20,0,0,0,47,12,0,1.500,0,14,3,3
150,14512.84,14611.32,98.48,211.094,23.622,1.033,21,0,1,0,59,9,1,3.150,0,17,1,3
151,14611.32,14680.18,68.86,160.887,22.542,0.183,20,0,0,0,46,9,0,3.600,0,13,3,4
152,14680.18,14794.26,114.08,230.897,27.596,3.992,22,0,1,0,60,10,2,6.750,0,17,1,4
153,14794.26,14908.50,114.24,214.176,27.778,1.700,22,0,1,0,56,8,2,4.050,0,17,0,5
154,14908.50,14976.32,67.82,200.641,23.586,2.333,20,0,0,0,59,12,0,4.950,0,18,1,1
155,14976.32,15086.22,109.90,205.844,25.695,2.433,21,0,1,0,51,13,1,3.000,0,16,2,3
156,15086.22,15156.08,69.86,205.807,23.263,1.716,20,0,0,0,54,13,0,4.350,0,15,1,4
157,15156.08,15270.78,114.70,196.359,25.202,2.083,21,0,1,0,49,10,1,4.200,0,15,3,3
158,15270.78,15381.06,110.28,260.711,23.158,0.400,22,0,1,0,66,13,2,4.200,0,19,0,3
159,15381.06,15446.90,65.84,163.295,24.359,2.749,20,0,0,0,47,9,0,3.000,0,14,3,3
160,15446.90,15556.66,109.76,219.076,27.164,1.916,21,0,1,0,59,11,1,5.700,0,17,2,2
161,15556.66,15672.14,115.48,227.732,29.852,4.416,22,0,1,0,59,11,2,5.700,0,16,1,5
162,15672.14,15780.86,108.72,197.779,25.070,1.566,21,0,1,0,50,12,1,5.700,0,13,2,6
163,15780.86,15894.66,113.80,242.143,27.706,2.899,23,0,1,0,61,13,3,5.851,0,17,2,4
164,15894.66,16023.78,129.12,205.828,28.757,2.999,22,0,1,0,59,8,2,3.000,0,18,2,2
165,16023.78,16144.22,120.44,252.488,25.853,0.900,23,0,1,0,59,12,3,6.901,0,14,4,5
166,16144.22,16249.28,105.06,242.332,24.328,2.050,21,0,1,0,65,13,1,4.351,0,21,0,0
167,16249.28,16368.60,119.32,182.904,28.356,4.249,21,0,1,0,50,14,1,1.950,0,13,5,3
168,16368.60,16435.04,66.44,172.756,23.649,1.550,20,0,0,0,48,11,0,2.850,0,14,1,5
169,16435.04,16547.30,112.26,236.338,30.157,4.841,22,0,1,0,54,14,2,8.551,0,13,5,4
170,16547.30,16663.24,115.94,226.537,25.760,1.533,22,0,1,0,59,13,2,5.251,0,15,4,3
171,16663.24,16785.82,122.58,247.600,33.948,3.816,23,0,1,0,63,9,3,6.601,0,15,3,5
172,16785.82,16902.90,117.08,229.242,29.680,2.433,22,0,1,0,60,12,2,4.951,0,14,2,6
173,16902.90,17018.82,115.92,201.686,30.340,5.449,21,0,1,0,56,12,1,5.101,0,16,3,3
174,17018.82,17085.68,66.86,165.832,25.152,0.267,20,0,0,0,49,8,0,4.801,0,13,2,5
175,17085.68,17154.98,69.30,155.506,26.330,2.649,20,0,0,0,48,9,0,0.000,0,13,3,4
176,17154.98,17224.24,69.26,189.496,24.974,1.683,20,0,0,0,50,14,0,2.850,0,14,2,4
177,17224.24,17330.88,106.64,227.473,29.334,2.033,21,0,1,0,51,13,1,4.801,0,18,1,2
178,17330.88,17450.42,119.54,285.555,26.188,1.000,23,0,1,0,55,13,3,4.501,0,20,1,2
179,17450.42,17566.68,116.26,304.176,24.750,0.900,22,0,1,0,61,11,2,5.101,0,16,1,5
180,17566.68,17677.02,110.34,273.949,23.536,0.600,21,0,1,0,56,13,1,5.101,0,16,0,5
181,17677.02,17786.94,109.92,270.395,26.400,3.249,21,0,1,0,56,11,1,5.401,0,18,1,2
182,17786.94,17893.24,106.30,236.574,31.090,2.433,21,0,1,0,47,12,1,4.501,0,14,3,4
183,17893.24,18006.50,113.26,312.164,26.229,3.116,22,0,1,0,56,15,2,6.601,0,20,0,2
184,18006.50,18135.02,128.52,424.984,30.510,2.125,25,0,1,0,77,20,5,8.251,0,21,0,4
185,18135.02,18242.60,107.58,285.215,32.516,6.582,21,0,1,0,60,8,1,5.251,0,15,1,5
186,18242.60,18310.68,68.08,283.301,23.722,2.066,20,0,0,0,48,15,0,6.901,0,18,2,0
187,18310.68,18430.86,120.18,353.508,26.148,0.950,23,0,1,0,61,17,3,9.752,0,18,1,4
188,18430.86,18549.08,118.22,278.289,30.514,2.783,21,0,1,0,61,11,1,4.951,0,16,1,4
189,18549.08,18670.74,121.66,284.770,23.439,0.617,21,0,1,0,65,11,1,3.301,0,17,1,3
190,18670.74,18787.14,116.40,327.180,29.902,3.832,23,0,1,0,65,14,3,9.602,0,20,0,3
191,18787.14,18891.00,103.86,265.027,32.462,7.824,22,0,1,0,52,12,2,4.651,0,15,2,5
192,18891.00,18959.92,68.92,262.652,25.743,4.666,20,0,0,0,54,13,0,7.351,0,19,0,1
193,18959.92,19028.90,68.98,249.828,21.657,0.750,20,0,0,0,49,10,0,4.051,0,17,0,3
194,19028.90,19143.00,114.10,358.559,25.457,1.383,23,0,1,0,64,18,3,9.302,0,18,1,4
195,19143.00,19262.46,119.46,285.617,28.417,1.816,22,0,1,0,62,13,2,4.501,0,15,3,4
196,19262.46,19383.32,120.86,310.488,27.640,0.633,22,0,1,0,63,10,2,7.351,0,16,0,6
197,19383.32,19498.14,114.82,252.813,24.384,0.200,21,0,1,0,49,10,1,3.451,0,16,3,2
