episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,maxPreyGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,reachedLifeEnd,diedFromHunger,diedFromThirst
35,172.72,214.696,70.498,7.642,32,1,61,15,2,3.0,0,19,13
36,130.8,164.202,61.533,5.325,32,1,44,10,2,3.0,0,19,13
37,164.1,167.076,63.817,5.1,30,0,57,10,0,0.0,0,14,16
38,209.0,280.402,77.211,5.183,32,1,88,17,2,4.5,1,11,20
39,165.48,220.341,65.136,4.75,31,1,73,17,1,1.5,0,14,17
40,141.54,205.626,74.377,6.2,32,1,51,16,2,4.5,0,20,12
41,249.32,224.633,81.625,10.55,31,1,69,14,1,1.5,1,16,14
42,214.32,301.792,92.97,30.978,34,2,84,23,4,7.5,1,17,16
43,195.7,260.878,92.116,12.377,34,1,63,18,4,8.4,0,24,12
44,172.26,145.783,61.1,7.467,30,0,44,11,0,0.0,0,19,11
45,194.02,223.552,65.71,5.283,30,0,79,15,0,1.2,0,13,17
46,196.16,268.371,68.467,3.417,32,1,77,21,2,3.0,0,18,14
47,135.9,218.935,77.446,17.153,32,1,60,17,2,3.0,0,21,11
48,217.1,297.874,91.164,15.253,33,2,83,23,3,6.75,0,21,12
49,236.02,244.154,67.997,8.76,32,1,64,23,2,5.55,0,23,9
50,162.48,240.175,97.869,13.418,32,1,63,16,2,4.35,0,22,10
51,178.98,272.374,71.746,14.358,32,1,79,21,2,9.0,0,19,13
52,218.58,208.932,72.883,10.319,31,1,62,17,1,1.5,1,21,9
53,217.46,250.297,61.175,2.1,32,1,69,19,2,3.0,0,19,13
54,183.7,168.546,54.917,2.909,30,0,51,12,0,2.85,0,21,9
55,200.42,239.063,79.958,7.302,33,2,62,23,3,4.5,0,23,10
56,151.0,241.619,70.392,9.552,31,1,75,19,1,2.85,0,17,14
57,243.58,325.362,72.791,11.476,34,2,84,27,4,8.25,1,20,13
58,210.28,225.988,65.066,4.134,31,1,71,19,1,2.7,0,17,14
59,211.76,294.505,60.648,1.85,32,1,85,26,2,3.0,0,20,12
60,162.0,172.984,75.661,12.419,30,0,53,15,0,1.5,0,19,11
61,214.38,296.805,63.811,6.518,33,1,81,24,3,8.85,0,22,12
62,209.0,204.616,68.131,10.744,30,0,60,19,0,1.5,0,20,10
63,207.58,262.96,59.206,2.651,31,1,74,27,1,5.7,0,20,11
64,184.8,374.192,71.449,2.617,35,1,104,25,5,10.5,0,12,24
65,226.28,290.545,66.736,3.826,32,1,87,27,2,4.2,1,13,18
66,179.3,224.989,66.068,6.101,30,0,69,23,0,0.0,0,17,13
67,230.52,495.346,83.252,4.668,37,1,134,34,7,14.7,1,8,28
68,266.62,446.535,88.33,12.561,38,2,110,33,8,14.1,0,15,23
69,244.76,368.296,74.012,6.135,34,1,107,24,4,8.85,1,12,21
70,214.26,251.228,61.379,1.467,31,1,79,21,1,1.5,1,18,12
71,207.86,273.3,65.974,8.452,33,1,72,22,3,7.5,0,19,14
72,190.54,293.47,78.815,14.026,32,1,84,25,2,7.8,0,16,16
73,188.88,372.503,75.531,7.46,35,1,93,28,5,13.35,0,19,16
74,168.76,338.71,73.072,8.477,33,1,101,23,3,5.7,0,13,20
75,245.98,324.563,66.169,1.675,33,1,96,23,3,6.6,0,18,15
76,164.32,283.581,69.382,8.651,33,1,83,23,3,5.1,0,14,19
77,198.72,331.752,73.505,9.298,33,1,93,34,3,6.75,0,19,14
78,203.04,255.798,61.856,5.751,30,0,91,17,0,2.1,0,13,17
79,241.82,444.349,77.565,5.851,36,2,120,30,6,13.8,1,13,22
80,230.08,421.468,85.253,9.443,35,1,122,30,5,9.0,0,14,21
81,247.98,385.812,78.309,6.233,33,1,112,34,3,8.7,1,16,16
82,228.1,485.812,95.673,12.889,37,2,131,36,7,12.0,0,17,20
83,275.54,522.94,92.763,13.478,38,2,141,37,8,19.05,1,12,25
84,253.82,361.768,70.554,3.259,33,1,108,27,3,9.3,0,13,20
85,238.42,364.701,77.842,4.526,34,1,103,26,4,10.35,0,15,19
86,232.52,321.544,68.104,5.274,32,1,106,20,2,5.25,1,8,23
87,231.66,383.1,89.322,10.581,35,1,101,33,5,7.5,1,17,17
88,209.24,330.157,72.235,3.409,33,1,99,23,3,5.25,1,15,17
89,240.02,601.083,103.672,11.251,39,2,163,44,9,16.8,3,14,22
90,245.0,506.282,106.753,27.234,39,1,119,35,9,18.9,0,20,19
91,188.82,384.538,75.597,7.123,33,1,118,28,3,10.8,0,10,23
92,240.02,306.338,69.97,2.899,33,1,91,22,3,4.5,0,13,20
93,222.82,336.748,103.087,10.218,32,1,108,30,2,5.4,1,14,17
94,259.32,422.084,81.321,9.331,34,1,121,40,4,13.05,0,18,16
95,253.86,396.038,89.832,23.487,35,1,107,31,5,15.15,0,19,16
96,257.78,463.824,94.197,17.346,35,1,134,38,5,10.35,1,13,22
97,232.88,394.594,71.369,2.424,35,1,115,29,5,8.85,2,15,19
98,193.36,276.846,67.756,8.665,31,1,85,25,1,6.0,0,18,13
99,205.98,487.059,84.55,11.281,36,1,129,38,6,17.25,0,18,18
100,209.56,351.616,73.4,4.532,34,1,100,23,4,10.05,0,12,22
101,146.56,204.918,69.244,11.739,31,1,65,11,1,5.1,0,15,16
102,275.26,519.67,107.903,26.544,38,2,133,44,8,15.15,1,20,17
103,307.72,493.246,77.839,8.948,36,2,130,47,6,13.05,0,19,17
104,248.68,557.458,94.384,19.462,40,2,128,45,10,25.049,0,21,19
105,220.92,306.422,85.81,12.53,32,1,90,27,2,11.1,0,17,15
106,220.36,654.64,84.673,5.882,40,2,158,50,10,22.049,0,19,22
107,324.94,614.408,102.527,12.205,44,3,150,34,14,21.75,0,13,31
108,280.32,470.174,90.201,19.729,37,1,128,31,7,12.6,2,18,17
109,218.26,439.947,91.223,14.396,36,1,114,34,6,13.199,0,19,17
110,234.52,501.799,98.113,5.349,37,1,139,32,7,13.799,0,11,26
111,275.26,610.073,97.77,10.048,39,2,166,45,9,14.85,3,10,26
112,216.76,373.204,78.733,13.463,36,1,97,20,6,10.95,1,19,16
113,242.28,480.616,95.522,15.463,37,2,131,36,7,12.899,0,15,22
114,320.6,722.081,105.058,17.213,43,2,184,49,13,26.25,1,10,32
115,236.42,546.0,85.409,9.014,37,2,147,41,7,14.699,2,14,21
116,289.44,413.044,91.209,20.562,34,1,129,29,4,8.4,0,12,22
117,234.28,512.167,88.168,7.615,38,1,126,35,8,16.199,0,20,18
118,239.9,519.059,79.128,10.331,36,1,136,44,6,17.999,2,14,21
119,235.18,450.45,84.948,15.471,35,1,126,41,5,13.2,0,16,19
120,234.76,406.953,78.841,12.855,34,1,106,40,4,11.55,1,19,14
121,330.78,741.497,111.22,12.122,44,3,183,54,14,23.549,3,15,26
122,228.56,385.112,82.623,14.755,34,1,110,33,4,12.0,1,15,18
123,268.96,468.754,81.151,6.282,37,2,120,40,7,18.749,0,18,19
124,336.02,663.577,109.606,20.003,42,3,159,47,12,26.849,3,21,18
125,244.68,344.484,85.22,10.981,33,1,107,20,3,6.45,0,13,20
126,229.26,486.938,83.117,7.482,37,2,122,44,7,13.499,1,20,16
127,263.68,596.158,101.309,20.179,40,2,157,41,10,16.499,1,15,24
128,248.28,483.748,95.838,19.67,36,1,130,41,6,14.549,1,21,14
129,239.0,417.936,92.904,22.678,33,1,119,36,3,12.15,2,18,13
130,250.58,419.987,85.919,14.463,38,2,108,28,8,12.0,0,15,23
131,304.22,734.405,116.387,7.956,45,3,172,54,15,23.549,1,17,27
132,208.26,387.581,70.788,3.716,35,2,103,30,5,9.75,0,18,17
133,257.52,402.025,80.674,13.08,33,1,113,36,3,16.499,0,16,17
134,322.46,619.138,87.151,10.372,39,3,162,47,9,19.949,1,13,25
135,201.1,366.943,78.877,10.289,35,2,97,28,5,10.5,0,17,18
136,208.52,386.112,87.136,16.754,33,2,114,29,3,7.2,0,13,20
137,340.98,538.9,85.301,11.239,38,2,143,41,8,18.149,0,15,23
138,252.16,549.149,90.821,8.448,41,3,127,34,11,21.299,0,21,21
139,229.52,434.064,96.195,14.688,35,2,118,39,5,13.649,0,19,16
140,325.64,906.148,106.831,13.547,46,3,210,68,16,34.649,4,18,24
141,328.7,731.346,98.157,13.263,44,3,175,44,14,27.899,3,15,27
142,254.62,644.787,105.242,13.655,39,2,163,55,9,19.499,1,16,23
143,268.9,557.177,102.06,17.171,39,2,145,40,9,17.249,2,17,20
144,316.1,765.807,115.403,21.153,41,2,199,65,11,22.049,5,16,21
145,244.46,603.657,119.218,16.829,39,1,149,43,9,20.549,0,16,23
146,217.02,410.38,98.386,28.218,35,2,117,30,5,11.25,0,14,21
147,240.42,555.88,96.704,8.606,37,1,145,43,7,17.699,1,14,22
148,255.5,438.643,94.109,10.514,37,2,108,39,7,16.199,0,23,14
149,318.54,710.446,126.64,21.428,41,2,178,58,11,25.799,2,19,20
150,217.98,371.232,105.902,15.396,32,1,109,38,2,13.649,2,15,15
151,373.04,1118.24,125.208,16.971,49,3,268,86,19,34.499,7,13,30
152,170.72,448.497,73.381,7.265,34,1,119,37,4,14.699,0,15,19
153,257.06,530.715,87.29,14.23,36,2,145,45,6,16.649,1,15,20
154,208.6,434.346,79.368,10.906,34,1,113,39,4,17.399,1,18,15
155,223.98,560.613,94.386,15.13,38,1,149,41,8,19.199,0,17,21
