episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,maxPreyGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,reachedLifeEnd,diedFromHunger,diedFromThirst
27,115.76,128.774,57.838,5.067,30,0,39,6,0,0.0,0,20,10
28,178.0,163.686,72.136,6.05,30,0,54,14,0,0.0,0,16,14
29,140.0,231.133,63.024,0.5,33,1,60,16,3,4.5,0,20,13
30,154.4,200.693,60.953,7.333,31,1,52,14,1,1.5,0,21,10
31,178.4,213.085,63.076,2.542,30,0,72,20,0,0.6,0,16,14
32,188.8,192.87,59.871,0.883,31,1,57,17,1,1.5,0,18,13
33,170.18,210.464,72.209,11.317,31,1,59,18,1,5.85,0,18,13
34,229.06,306.148,72.383,9.4,34,1,77,25,4,7.5,1,22,12
35,143.94,176.538,62.705,2.517,32,1,41,14,2,4.05,0,26,6
36,144.42,216.075,62.411,1.3,31,1,57,18,1,4.5,0,19,12
37,187.18,213.361,68.825,4.583,32,1,57,18,2,4.2,0,20,12
38,149.86,298.467,73.075,6.733,34,1,81,20,4,8.4,0,14,20
39,161.34,155.878,68.126,9.608,30,0,47,11,0,2.4,0,19,11
40,143.08,196.586,69.895,7.508,31,1,54,21,1,4.5,0,22,9
41,217.24,280.841,86.058,1.783,32,1,81,24,2,4.5,1,14,17
42,171.82,282.0,79.328,13.516,32,1,83,25,2,11.25,0,16,16
43,205.68,240.014,87.183,13.333,32,1,67,20,2,3.0,0,21,11
44,189.94,205.726,61.163,3.067,32,1,49,19,2,6.75,0,25,7
45,175.5,230.92,61.072,2.017,30,0,80,22,0,2.85,0,10,20
46,197.26,331.039,68.725,5.733,31,1,106,34,1,2.4,0,14,17
47,173.84,305.965,69.094,6.142,34,1,80,25,4,8.55,0,20,14
48,186.16,261.383,65.002,0.883,31,1,80,24,1,1.5,0,15,16
49,182.9,230.81,61.493,3.908,32,1,58,18,2,5.85,0,24,8
50,204.4,247.028,74.154,5.383,32,2,70,22,2,6.0,0,23,9
51,174.72,286.678,75.994,4.033,33,1,79,23,3,4.5,0,19,14
52,197.56,283.973,74.893,8.183,32,1,85,21,2,5.55,0,16,16
53,224.9,439.762,72.719,5.542,37,1,102,37,7,14.4,1,27,9
54,201.96,178.746,66.448,4.15,31,1,51,14,1,1.5,1,20,10
55,203.04,203.035,67.873,6.383,31,1,61,14,1,3.3,1,22,9
56,189.3,380.0,67.632,5.442,33,1,110,30,3,13.05,0,14,19
57,258.18,516.211,76.294,4.733,37,2,134,40,7,15.6,1,18,19
58,201.48,347.757,73.493,10.81,33,1,101,31,3,6.75,0,17,16
59,202.8,274.322,65.891,1.933,31,1,86,26,1,3.45,0,17,14
60,227.12,308.551,110.915,25.502,33,1,91,20,3,9.15,0,18,15
61,196.12,324.704,67.671,2.6,32,1,94,32,2,4.8,0,20,12
62,159.06,374.904,187.469,103.979,34,1,117,24,4,7.5,0,11,23
63,198.84,457.783,78.496,7.033,35,1,127,35,5,8.4,0,16,19
64,245.6,573.248,87.848,5.71,37,1,155,47,7,11.7,0,18,19
65,208.0,356.465,78.392,4.518,34,1,97,29,4,9.75,0,17,17
66,252.6,359.483,81.523,7.251,35,2,96,26,5,10.5,0,19,16
67,273.22,640.37,102.905,9.606,40,2,165,49,10,16.2,3,13,24
68,211.52,261.11,63.997,3.626,31,1,75,24,1,4.5,1,20,11
69,228.24,484.662,79.321,7.033,36,1,133,38,6,12.75,2,14,20
70,243.42,620.37,96.146,9.902,40,2,139,57,10,18.0,1,27,12
71,265.1,535.868,85.484,9.014,35,2,162,44,5,12.9,1,14,20
72,364.22,636.272,95.772,7.385,38,2,176,53,8,18.3,1,15,22
73,275.46,394.473,71.586,2.1,35,1,113,25,5,9.0,0,16,19
74,259.7,807.356,96.262,7.46,44,3,195,59,14,28.5,4,15,25
75,374.98,924.74,109.597,9.618,44,3,245,76,14,21.75,9,11,24
76,238.88,547.046,85.782,6.907,39,2,138,47,9,15.6,0,18,21
77,214.86,334.225,78.187,12.461,34,2,93,25,4,7.5,0,16,18
78,342.18,660.083,104.24,22.796,40,2,158,59,10,18.6,3,22,15
79,244.12,752.259,86.537,5.885,41,2,191,61,11,22.95,4,11,26
80,255.98,691.852,94.753,11.452,42,2,158,56,12,20.7,0,22,20
81,307.52,609.139,98.85,14.78,37,1,170,54,7,15.75,3,17,17
82,224.66,370.933,81.848,10.727,36,3,92,29,6,10.5,0,18,18
83,364.5,1306.868,152.383,16.437,53,3,301,97,23,44.7,11,18,25
84,237.96,677.588,112.442,16.519,40,2,168,57,10,22.95,1,14,25
85,202.12,406.426,75.929,9.293,36,2,111,29,6,10.5,0,17,19
86,379.06,802.923,163.539,72.974,45,3,189,59,15,27.45,3,21,21
87,329.5,943.332,110.644,10.056,44,3,237,78,14,28.349,11,15,18
88,292.2,766.813,92.477,13.219,42,2,198,62,12,21.599,5,16,21
89,326.5,1094.71,135.755,31.494,50,3,230,90,20,44.098,5,27,18
90,242.5,586.587,92.158,20.554,38,2,146,56,8,17.249,2,23,13
91,326.4,692.167,87.544,9.277,39,2,192,56,9,17.7,7,12,20
92,276.84,595.27,97.821,15.713,38,2,147,54,8,21.899,2,23,13
93,226.3,355.231,74.775,12.189,33,1,108,29,3,5.7,0,14,19
94,252.8,575.781,79.117,2.816,37,2,149,47,7,17.85,1,16,20
95,356.62,1035.27,117.652,12.077,48,3,254,73,18,47.698,6,12,30
96,365.84,1283.512,140.879,22.919,52,3,281,107,22,55.198,11,19,22
97,388.48,1013.566,133.603,21.478,48,3,252,75,18,33.449,4,14,30
98,310.32,941.212,102.197,8.748,47,2,227,66,17,31.049,6,13,28
99,255.66,392.374,75.615,9.848,34,1,107,39,4,8.4,0,22,12
100,352.64,1083.221,116.907,13.188,54,4,234,78,24,44.848,2,25,27
101,419.14,1026.797,112.382,10.399,49,3,230,85,19,38.548,5,21,23
102,282.92,883.231,159.426,40.049,46,2,204,64,16,32.099,3,21,22
103,302.94,760.579,122.557,16.896,43,3,181,63,13,26.999,6,18,19
104,351.04,947.47,114.071,10.806,47,3,221,78,17,28.049,5,24,18
105,344.76,478.264,86.816,12.664,38,2,112,42,8,13.949,1,25,12
106,377.56,1249.093,138.916,15.071,52,4,302,89,22,47.848,9,17,26
107,440.98,2397.21,207.826,34.042,79,4,467,178,49,99.746,27,25,27
108,274.9,1005.747,120.403,16.679,49,2,217,71,19,37.348,2,17,30
109,353.56,678.676,97.658,8.315,41,3,173,53,11,24.749,4,20,17
110,354.0,1756.939,192.399,19.054,69,4,319,128,39,77.847,7,34,28
111,370.04,889.766,105.213,11.664,43,2,213,75,13,30.899,9,21,13
112,364.66,899.007,207.138,104.458,45,3,228,71,15,29.849,7,23,15
113,436.54,1742.254,177.168,21.87,63,4,373,135,33,59.848,13,23,27
114,409.34,1512.604,148.285,21.828,64,4,311,104,34,59.398,10,23,31
115,243.34,559.204,76.453,9.964,39,2,130,40,9,23.099,1,24,14
116,304.82,509.611,92.997,10.114,36,2,136,42,6,20.549,0,18,18
117,429.98,737.61,103.424,12.505,40,3,204,63,10,19.499,7,20,13
118,310.66,1087.16,114.84,9.073,52,4,236,76,22,43.348,4,18,30
119,502.4,1578.93,164.233,25.219,63,4,345,114,33,65.397,10,21,32
120,494.98,2206.966,179.722,21.97,78,5,449,162,48,92.546,14,31,33
121,336.72,971.639,115.838,13.48,49,3,226,71,19,37.348,3,18,28
122,300.62,619.379,89.914,10.073,37,2,164,57,7,22.199,3,22,12
123,515.36,1904.393,178.712,26.285,70,6,410,146,40,71.547,14,24,32
124,463.74,2179.76,191.103,20.32,77,5,430,143,47,98.246,13,25,39
125,434.52,1732.467,154.032,13.905,65,4,375,128,35,61.498,11,24,30
126,267.2,707.932,92.329,11.98,40,2,166,65,10,29.699,2,24,15
127,384.42,1553.939,139.462,20.812,57,3,304,143,27,68.997,13,38,6
128,386.36,1255.421,149.972,22.103,54,4,291,99,24,47.253,9,22,23
129,446.66,1601.88,155.181,18.521,59,4,339,119,29,61.508,12,24,24
130,537.66,2685.937,203.418,24.177,84,5,516,185,54,107.116,21,30,33
131,543.82,1769.312,150.455,20.087,65,4,367,140,35,66.897,13,30,22
132,308.8,706.799,90.727,12.43,39,2,175,68,9,24.299,4,23,12
133,404.02,1591.039,120.385,7.148,55,4,329,112,25,53.109,16,20,19
134,396.98,1629.903,134.567,14.763,66,4,327,126,36,62.549,11,30,25
135,476.44,1553.9,139.679,14.58,58,3,297,113,28,58.51,9,29,20
136,604.86,2215.058,166.131,18.687,72,4,446,164,42,75.762,22,32,18
137,503.28,2043.005,153.215,18.612,72,4,420,151,42,78.747,23,24,25
138,410.78,1290.412,127.3,14.621,51,4,260,98,21,50.558,8,26,17
139,472.0,1155.069,120.084,25.269,51,4,242,92,21,40.807,8,24,19
140,502.06,1206.174,114.861,21.536,47,5,266,87,17,43.357,6,25,16
141,499.92,2119.424,169.244,14.763,70,4,424,152,40,80.108,17,26,27
142,315.12,1140.984,107.386,20.253,50,3,228,75,20,40.357,6,23,21
143,641.02,2686.645,216.846,23.544,82,7,506,182,52,90.615,21,28,33
144,362.0,1653.541,136.27,15.646,59,3,328,109,29,62.56,13,19,27
145,358.28,1297.588,119.752,19.487,54,3,271,85,24,44.407,9,19,26
146,475.0,2831.285,218.667,33.833,83,5,524,178,53,100.816,24,19,41
147,357.08,1245.008,117.659,21.128,47,3,270,91,17,42.757,12,18,17
148,569.38,1341.826,114.077,7.84,51,3,277,101,21,47.258,12,22,17
149,309.98,821.813,112.897,18.762,40,3,183,67,10,27.604,5,19,16
150,487.44,2605.148,205.071,25.552,79,5,459,187,49,93.315,22,34,23
151,388.86,1502.16,108.19,7.182,54,3,278,113,24,53.709,9,34,11
152,438.92,1652.521,131.061,15.405,57,3,355,106,27,57.459,12,14,31
153,396.02,1615.813,162.711,18.745,58,4,334,111,28,55.209,11,21,26
154,203.56,442.557,86.37,9.631,32,1,115,32,2,9.752,1,14,17
155,360.98,1248.395,289.997,175.84,51,3,258,81,21,42.457,9,22,20
156,437.62,3017.693,224.661,38.208,91,5,459,202,61,119.57,17,55,19
157,552.52,2680.961,341.427,118.679,80,5,495,183,50,103.517,25,29,27
158,361.52,893.955,80.804,7.898,40,2,202,68,10,33.605,7,20,13
159,442.44,1219.357,125.46,15.33,53,4,237,89,23,42.457,5,29,19
160,324.98,1343.908,122.208,19.412,51,2,274,103,21,44.257,12,21,18
161,529.94,2101.67,170.057,19.947,69,4,395,135,39,77.113,14,26,29
162,625.38,2731.938,209.101,24.144,84,6,480,195,54,97.066,19,33,32
163,497.42,2476.635,240.819,38.812,74,4,448,178,44,88.664,21,34,19
164,406.84,1593.725,158.365,23.411,59,4,297,117,29,57.009,10,30,19
165,345.54,1041.75,107.578,13.297,49,3,197,73,19,36.756,0,29,20
166,353.12,920.969,118.791,14.355,42,3,206,66,12,26.854,8,17,17
167,482.96,2012.01,306.2,130.327,65,5,383,138,35,85.214,15,24,27
168,264.98,745.525,88.25,6.982,41,3,160,49,11,24.904,2,22,17
169,517.66,2218.898,200.943,24.563,72,5,420,152,42,84.764,17,30,25
170,423.98,1854.695,146.533,16.424,62,4,350,132,32,67.661,13,24,25
171,724.56,2446.49,196.634,36.955,73,8,504,171,43,88.664,27,22,24
172,479.6,2060.381,169.176,33.009,69,5,378,129,39,84.464,16,28,25
173,381.34,1556.432,148.858,27.821,55,3,308,115,25,59.86,9,27,19
174,402.2,2120.014,220.894,56.282,75,4,399,154,45,88.814,18,29,28
175,563.72,3906.396,265.835,34.736,111,7,646,256,81,157.676,30,48,34
176,335.64,1063.355,148.785,42.006,47,3,222,72,17,45.757,5,17,25
177,698.94,3711.43,307.957,51.369,106,7,613,251,76,144.924,29,44,33
178,560.96,2408.213,250.437,65.045,81,5,436,161,51,93.915,13,39,29
179,488.32,2070.547,174.031,23.037,82,4,420,171,52,87.614,16,40,26
180,481.58,1910.762,153.505,28.302,73,4,429,170,43,90.465,24,33,16
181,525.52,1688.512,157.967,19.663,68,5,393,154,38,73.662,19,30,19
182,610.4,2612.342,297.459,121.944,83,6,478,177,53,102.317,17,37,29
183,547.6,2187.168,193.547,18.572,82,5,510,177,52,99.166,20,20,42
184,405.6,1299.727,126.595,18.079,59,4,310,119,29,66.011,9,26,24
185,471.72,1503.43,128.462,20.532,64,4,345,130,34,64.511,12,30,22
186,370.58,1074.578,147.091,38.941,53,3,277,88,23,50.558,7,15,31
187,356.5,904.594,91.291,9.956,48,3,227,86,18,39.606,8,27,13
188,347.56,806.406,91.613,13.622,44,3,235,76,14,36.306,12,19,13
189,607.14,2547.27,179.645,27.007,83,6,521,183,53,102.317,27,24,32
190,291.9,650.684,96.513,12.598,39,2,204,67,9,27.004,6,14,19
191,419.26,1529.137,119.94,7.015,63,4,355,137,33,76.062,13,27,23
192,570.62,2816.781,192.83,24.513,95,6,580,245,65,141.623,31,44,20
193,775.28,1890.566,152.773,15.597,73,8,473,174,43,91.065,24,29,20
194,503.9,1596.211,208.236,63.711,68,6,388,137,38,73.062,15,28,25
195,686.0,2423.074,299.791,63.047,88,6,549,199,58,111.768,28,29,32
196,506.62,1813.844,153.296,26.739,72,6,407,165,42,84.164,15,36,21
197,538.92,1735.539,146.134,16.105,71,5,379,158,41,80.563,13,35,23
198,474.28,1846.539,369.558,218.385,71,4,426,162,41,79.063,18,21,32
199,403.52,945.035,111.96,24.246,48,3,256,83,18,43.057,8,18,22
200,509.92,2406.559,219.106,43.308,87,5,487,201,57,116.269,20,42,25
201,573.34,2258.281,186.578,29.044,81,5,492,200,51,111.468,27,36,18
202,447.82,1728.957,173.142,30.925,67,4,391,152,37,84.314,18,27,22
203,505.8,1104.078,102.301,15.34,52,4,310,98,22,50.558,13,20,19
204,378.06,1461.902,141.964,18.492,66,4,281,122,36,64.961,4,44,18
205,352.96,1054.316,130.672,35.852,54,4,271,88,24,45.757,9,17,28
206,723.34,2365.902,183.398,30.969,87,7,551,198,57,112.668,30,29,28
207,593.52,1551.469,130.822,23.999,65,6,374,146,35,78.913,19,28,18
208,461.04,2872.965,299.471,81.307,107,6,508,189,77,128.121,5,47,55
209,619.3,3060.012,245.584,53.942,101,6,631,272,71,144.474,35,44,22
210,526.32,1442.652,142.109,18.097,59,4,402,126,29,60.01,18,18,23
211,441.08,1010.066,105.197,15.806,52,4,255,94,22,47.558,6,28,18
212,470.22,2811.332,246.153,40.694,102,6,537,212,72,134.722,18,38,46
213,644.32,2303.734,171.855,21.906,82,6,533,204,52,108.618,30,27,25
214,361.48,1416.512,138.121,24.289,65,3,289,107,35,66.611,3,40,22
215,815.92,2428.344,195.937,23.312,91,9,536,207,61,109.218,22,42,27
216,514.12,2554.352,207.339,35.513,93,5,491,210,63,115.669,18,57,19
217,626.58,2039.625,182.505,31.647,82,7,450,157,52,91.815,17,30,35
218,740.06,3075.137,241.635,35.029,101,8,667,284,71,148.524,36,43,22
219,614.86,2854.738,212.095,39.484,96,6,568,245,66,131.421,26,54,16
220,552.38,2936.844,233.834,56.363,96,6,619,245,66,141.773,40,28,28
221,873.82,3778.801,254.52,44.252,123,10,770,333,93,184.23,45,55,23
222,916.86,4848.961,410.065,89.474,157,10,978,366,127,231.038,44,66,48
223,493.0,1666.102,141.13,18.397,66,4,401,153,36,79.945,21,25,20
224,561.2,1469.082,134.773,12.901,65,6,354,127,35,74.262,13,30,22
225,754.96,2708.961,196.788,28.062,92,7,586,262,62,130.473,32,43,17
226,589.42,2534.859,189.369,36.918,89,6,543,228,59,120.99,31,38,20
227,703.4,2569.535,180.191,24.221,89,7,571,226,59,128.368,28,35,26
228,704.86,2608.078,201.206,27.279,93,7,576,221,63,123.819,28,39,26
229,444.64,1653.477,145.177,25.157,68,5,393,136,38,80.348,14,23,31
230,506.54,2753.711,226.18,56.592,93,4,535,222,63,131.121,26,40,27
231,529.68,3170.238,331.569,68.395,111,6,532,267,81,150.052,23,68,20
232,512.34,1338.207,132.127,24.762,61,6,318,122,31,66.257,13,29,19
233,623.3,2778.852,218.2,35.635,96,7,588,236,66,135.662,30,36,30
234,510.56,2352.305,175.811,30.207,87,5,450,205,57,117.862,16,51,20
235,577.2,2307.527,190.614,36.38,81,5,479,219,51,104.932,24,41,16
236,468.54,2280.941,178.117,26.162,80,4,462,214,50,116.474,23,45,12
237,355.98,938.465,111.718,22.963,48,3,251,90,18,50.067,8,22,18
238,520.92,2003.621,176.904,37.006,74,4,450,182,44,100.734,24,32,18
239,464.36,2060.273,214.252,37.85,78,4,441,173,48,99.985,17,39,23
240,340.44,872.188,102.464,14.923,49,3,225,73,19,38.975,4,24,21
241,607.92,2286.875,182.54,25.831,86,6,483,206,56,105.082,18,44,24
242,760.38,2566.527,238.575,38.613,93,9,557,236,63,122.17,25,47,21
243,602.84,2046.156,180.561,28.072,77,6,434,200,47,95.038,17,48,13
244,407.28,663.207,82.283,13.427,40,3,196,72,10,31.479,2,22,16
245,525.04,1267.289,126.375,21.082,58,6,315,112,28,63.858,6,26,26
246,569.32,2464.371,209.656,27.782,90,6,500,213,60,116.174,23,47,20
247,831.18,2929.406,237.708,28.542,102,8,659,253,72,144.206,35,35,32
248,428.76,1222.066,106.541,14.304,55,4,320,113,25,49.468,13,22,20
249,557.46,2252.91,200.653,41.277,83,5,473,197,53,105.981,16,49,18
250,750.06,2431.352,199.881,28.653,84,6,574,221,54,120.222,39,25,20
251,682.22,3564.805,281.659,50.146,113,7,722,307,83,175.985,43,49,21
252,712.2,1902.078,160.407,23.695,73,7,474,173,43,88.442,17,27,29
253,470.4,3075.695,226.992,40.731,106,4,543,247,76,142.257,24,57,25
254,472.42,1123.477,113.05,17.251,55,4,274,103,25,52.766,8,27,20
255,459.62,1223.43,108.384,13.969,55,3,322,117,25,60.561,14,25,16
256,596.7,3346.875,277.419,60.931,112,6,603,265,82,163.843,22,59,31
257,1347.44,4535.945,367.051,62.916,146,15,1035,388,116,228.601,57,49,42
258,748.7,3422.461,239.24,32.015,116,8,701,291,86,157.697,29,57,30
259,501.68,1382.66,128.645,13.311,59,4,344,133,29,62.659,13,22,24
260,640.36,2796.578,220.297,39.311,96,6,555,257,66,140.908,26,57,13
261,687.74,2699.676,189.827,33.232,94,7,563,247,64,127.717,28,50,16
262,700.7,2521.719,213.158,24.069,89,7,553,229,59,125.318,23,43,23
263,599.72,2676.555,197.634,35.066,89,7,599,223,59,141.208,26,28,35
264,557.72,2211.113,174.79,32.78,83,5,452,201,53,109.129,19,51,13
265,648.02,1751.477,150.082,16.475,69,6,452,152,39,84.695,20,23,27
266,633.08,2639.031,187.828,32.598,91,7,576,228,61,120.522,25,37,29
267,618.92,2697.82,225.443,29.364,96,7,568,226,66,125.768,25,40,31
268,654.7,1864.875,160.518,20.254,71,5,450,176,41,91.74,25,24,22
269,878.84,4331.375,285.226,54.317,139,9,820,373,109,208.964,44,73,22
270,649.46,2700.805,187.609,35.823,89,5,581,244,59,119.322,28,39,22
271,601.66,2334.398,192.773,32.353,84,5,483,210,54,111.377,20,47,17
272,542.76,2951.383,207.577,32.276,100,5,596,224,70,127.267,26,46,29
273,739.74,1620.93,137.543,16.818,69,8,412,160,39,75.401,20,28,21
274,699.26,2756.172,191.751,34.798,93,6,560,264,63,127.567,29,51,14
275,924.32,3366.359,239.626,36.808,111,9,748,311,81,157.697,39,48,24
276,745.16,2416.234,179.524,33.943,85,7,562,211,55,109.129,24,32,29
277,592.26,2497.727,228.782,37.324,87,5,546,222,57,119.322,21,37,30
278,499.3,2010.266,150.332,22.969,75,5,470,159,45,95.938,20,21,34
279,525.16,1534.609,162.961,19.353,64,5,365,156,34,71.503,18,34,12
280,810.52,3207.328,238.671,41.821,107,8,695,284,77,158.297,40,46,21
281,688.22,2740.469,212.372,35.864,94,7,631,230,64,126.068,31,31,32
282,652.04,2801.383,227.886,42.02,94,6,609,248,64,129.516,28,36,30
283,576.62,2211.953,180.404,25.547,83,6,509,179,53,107.63,24,25,34
284,731.04,3135.375,334.046,95.24,105,7,620,285,75,150.652,28,58,19
285,877.66,2876.984,203.89,29.656,101,9,664,259,71,134.762,35,38,28
286,640.18,2238.156,167.391,25.585,79,5,513,204,49,100.135,28,37,14
287,579.98,1711.328,126.457,18.754,65,6,435,166,35,80.947,27,26,13
288,390.54,1689.266,159.161,23.761,69,4,334,146,39,85.744,4,46,19
289,525.06,1778.445,142.509,21.187,68,5,416,171,38,83.795,22,27,19
290,448.66,2854.711,252.201,52.159,100,5,500,226,70,136.861,16,65,21
291,754.58,3755.945,280.773,49.361,126,8,755,302,96,180.333,37,49,41
292,232.98,453.383,97.655,7.951,37,2,133,49,7,19.188,1,19,17
293,448.22,3183.625,255.982,56.269,106,5,528,272,76,152.301,21,66,19
294,535.14,2100.148,186.637,24.88,77,6,471,198,47,95.638,22,36,19
295,707.58,2111.398,181.758,28.899,79,6,498,205,49,103.583,26,39,14
296,454.66,1336.742,153.549,41.374,61,4,316,117,31,63.559,7,30,24
297,662.2,3092.047,227.538,38.837,105,6,614,269,75,149.153,27,54,24
298,500.12,1668.938,155.624,31.451,68,5,399,150,38,74.352,19,31,18
299,543.7,1764.961,147.049,26.446,71,5,420,155,41,84.395,25,28,18
300,426.78,1409.078,133.2,21.041,61,4,329,130,31,66.707,12,30,19
301,623.58,2025.891,158.551,16.573,78,5,478,172,48,94.738,21,29,29
302,772.48,4605.313,323.678,57.603,138,9,863,397,108,235.796,47,69,23
303,509.2,1065.68,119.242,15.12,54,6,289,96,24,52.466,6,18,30
304,556.88,2306.898,182.902,29.813,84,6,505,196,54,102.084,22,32,30
305,567.68,1898.852,155.214,28.064,75,6,440,166,45,87.393,18,34,25
306,659.52,1798.109,148.485,21.401,69,4,458,160,39,80.498,22,21,26
307,826.78,3439.375,234.517,33.503,113,8,730,312,83,167.891,45,48,20
308,439.12,1599.492,144.414,27.935,63,4,360,168,33,78.099,19,31,13
309,670.82,3895.008,281.946,37.722,126,6,682,310,96,189.027,26,80,22
310,537.94,2009.508,169.517,18.761,77,5,426,183,47,100.435,17,39,21
311,781.86,3172.352,230.782,48.99,104,7,671,278,74,151.401,35,48,21
312,837.04,3859.234,266.054,36.171,129,9,780,336,99,183.63,33,69,27
313,520.38,1947.773,178.588,37.141,76,5,394,192,46,91.44,14,47,15
314,514.02,1762.664,174.506,27.922,73,6,386,157,43,85.894,15,41,17
315,837.92,3976.281,265.63,48.877,129,8,775,350,99,186.628,44,59,26
316,538.04,1794.93,140.708,22.792,71,5,411,167,41,85.594,16,36,19
317,616.02,2043.047,173.406,32.425,77,6,441,199,47,102.833,22,44,11
318,563.08,1344.438,124.065,28.884,57,5,361,126,27,63.409,20,21,16
319,496.28,2304.531,199.729,36.274,83,5,498,194,53,116.324,24,33,26
320,662.94,2236.695,166.891,27.749,84,8,518,200,54,112.427,27,34,23
321,468.22,977.695,93.765,10.477,50,5,264,89,20,53.515,11,23,16
322,551.52,1925.219,151.447,25.491,73,6,445,187,43,94.289,25,35,13
323,413.48,1542.898,140.124,26.675,63,5,356,146,33,73.602,13,30,20
324,497.74,1916.047,176.796,25.331,75,4,417,156,45,88.292,17,37,21
325,672.26,3749.109,296.329,65.783,123,7,699,303,93,175.985,30,66,27
326,457.3,1012.203,121.087,15.107,52,4,259,99,22,46.62,7,28,17
327,346.34,953.156,97.683,13.743,49,3,229,94,19,47.969,7,30,12
328,513.44,1766.93,152.349,27.864,72,5,388,168,42,84.095,17,36,19
329,703.26,2889.375,220.983,40.303,100,7,601,262,70,144.206,33,42,25
330,841.6,3332.227,247.94,30.449,114,7,662,282,84,165.342,27,63,24
331,431.94,1165.766,117.675,15.736,55,3,281,106,25,55.914,6,32,17
332,732.6,3899.516,294.357,55.497,123,7,792,325,93,178.684,35,47,41
333,536.9,2306.922,177.458,34.372,85,6,512,195,55,115.275,26,27,33
334,445.48,1100.898,120.535,19.03,53,4,296,96,23,54.115,10,21,22
335,631.48,2984.945,221.277,48.503,100,7,611,271,70,141.508,30,49,21
336,711.04,3003.688,208.907,36.291,101,8,611,288,71,154.549,32,55,14
337,912.62,4018.133,296.182,50.667,129,10,798,362,99,195.623,46,52,31
338,495.26,1576.477,133.216,22.993,65,6,379,141,35,76.45,14,31,20
339,473.84,1710.242,157.317,36.519,67,4,394,167,37,90.691,25,30,12
340,938.66,4738.836,377.884,91.126,151,11,937,392,121,227.852,50,68,34
341,459.62,1688.578,160.164,34.434,67,4,387,157,37,81.097,15,32,20
342,597.94,2951.172,226.91,44.339,101,6,605,252,71,139.409,30,46,25
343,628.94,2059.367,141.1,26.762,74,5,471,203,44,99.835,23,37,14
344,634.16,2524.656,182.508,26.912,88,5,531,229,58,123.669,24,47,17
345,744.34,3379.922,256.282,54.284,111,7,698,302,81,167.591,38,53,20
346,804.98,3660.25,323.16,80.395,125,10,716,294,95,179.883,31,63,31
347,519.38,1821.445,158.137,23.519,71,5,411,169,41,92.34,13,34,24
348,565.02,2450.633,209.949,37.165,88,4,477,230,58,115.125,18,60,10
349,880.7,4633.844,326.943,63.302,142,8,854,398,112,234.148,48,74,21
350,639.66,2681.453,216.834,41.881,91,5,548,234,61,124.119,23,46,22
351,512.28,2127.008,175.166,40.197,76,4,461,197,46,104.332,26,33,17
352,873.6,3576.945,264.474,43.845,117,9,784,301,87,165.942,46,42,29
353,618.32,3582.078,257.273,52.024,111,6,695,294,81,180.333,43,48,20
354,589.9,1671.133,173.088,35.696,67,5,409,147,37,77.05,20,24,23
355,663.22,2068.586,162.531,23.603,79,6,488,185,49,106.281,21,34,24
356,699.06,1943.336,158.599,19.302,76,8,481,178,46,96.837,22,28,26
