episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
133,109.7,233.765,44.0,7.848,23,0,1,0,53,15,3,4.8,0,15,4,4
134,100.52,174.601,35.938,9.256,21,0,1,0,47,5,1,4.05,0,13,3,5
135,100.1,187.041,42.609,12.439,21,0,1,0,48,8,1,2.85,0,15,2,4
136,68.74,161.699,30.461,6.348,20,0,0,0,48,9,0,1.8,0,14,0,6
137,68.16,139.736,32.246,5.399,20,0,0,0,39,8,0,0.15,0,13,4,3
138,67.76,147.229,46.845,19.412,20,0,0,0,48,6,0,0.3,0,11,1,8
139,121.88,281.383,39.427,11.497,24,0,1,0,63,14,4,8.85,0,19,1,4
140,66.7,158.767,34.565,8.431,20,0,0,0,49,5,0,0.0,0,13,2,5
141,125.8,318.402,36.28,3.449,26,0,1,0,72,12,6,9.45,0,17,2,7
142,98.66,169.604,40.666,10.689,21,0,1,0,45,7,1,3.0,0,10,5,6
143,114.38,157.794,60.051,20.612,21,0,1,0,50,5,1,1.5,0,13,4,4
144,84.34,157.928,33.374,6.065,21,0,1,0,42,7,1,2.55,0,16,2,3
145,115.9,212.992,34.964,6.457,22,0,1,0,51,14,2,3.75,0,15,3,4
146,123.06,192.618,38.018,10.256,22,0,1,0,50,14,2,3.0,0,12,4,6
147,99.22,213.489,37.633,10.597,22,0,1,0,58,7,2,3.0,0,13,1,8
148,132.24,266.335,30.394,3.199,23,0,1,0,63,16,3,6.75,0,19,2,2
149,114.5,254.686,31.132,2.549,23,0,1,0,58,14,3,6.6,0,14,3,6
150,67.98,150.948,42.634,18.304,20,0,0,0,48,8,0,1.95,0,11,1,8
151,67.18,169.283,29.162,4.716,20,0,0,0,39,8,0,3.9,0,14,4,2
152,121.92,205.931,29.825,3.033,22,0,1,0,54,7,2,3.0,0,14,4,4
153,115.16,190.233,33.911,9.114,21,0,1,0,47,13,1,2.85,0,16,3,2
154,114.6,229.308,34.271,6.215,23,0,1,0,54,11,3,7.35,0,13,3,7
155,118.82,212.869,38.748,10.397,22,0,1,0,55,14,2,4.5,0,13,2,7
156,69.38,153.7,29.648,4.182,20,0,0,0,50,5,0,1.2,0,12,0,8
157,100.3,188.856,47.346,20.62,21,0,1,0,48,11,1,1.5,0,16,3,2
158,112.92,169.16,29.627,0.883,21,0,1,0,49,10,1,1.5,0,11,3,7
159,109.84,216.031,31.831,3.899,22,0,1,0,50,10,2,3.6,0,15,3,5
160,103.56,197.242,36.399,8.681,21,0,1,0,53,9,1,4.2,0,19,0,2
161,107.38,183.297,31.391,6.457,21,0,1,0,45,10,1,3.0,0,12,3,6
162,116.14,286.815,34.553,6.848,24,0,1,0,58,17,4,11.1,0,18,3,3
163,67.14,161.077,27.255,2.033,20,0,0,0,48,10,0,2.25,0,13,2,5
164,108.18,252.61,34.997,10.398,22,0,1,0,65,11,2,7.05,0,18,0,4
165,112.02,243.115,37.875,8.648,23,0,1,0,62,9,3,5.7,0,15,1,7
166,105.98,224.189,37.497,10.881,22,0,1,0,60,7,2,4.2,0,18,1,3
167,103.94,200.785,30.317,4.391,21,0,1,0,56,11,1,3.75,0,16,0,5
168,69.2,135.905,33.532,5.315,20,0,0,0,45,5,0,0.0,0,11,2,7
169,69.52,157.74,28.989,4.549,20,0,0,0,47,7,0,2.55,0,14,1,5
170,117.62,251.518,38.267,12.707,22,0,1,0,59,15,2,6.75,0,14,4,4
171,104.14,315.556,32.83,4.89,25,0,1,0,61,16,5,8.4,0,21,3,1
172,68.52,180.849,32.637,8.281,20,0,0,0,52,8,0,5.25,0,13,1,6
173,113.5,212.886,27.662,0.816,21,0,1,0,55,12,1,4.8,0,17,1,3
174,114.68,208.779,30.419,3.191,22,0,1,0,54,10,2,4.5,0,14,3,5
175,111.86,199.489,27.349,2.466,21,0,1,0,53,11,1,3.3,0,16,0,5
176,112.54,251.004,36.833,8.849,23,0,1,0,56,13,3,4.5,0,17,4,3
177,112.44,170.076,43.289,15.896,21,0,1,0,49,9,1,1.65,0,9,5,7
178,69.4,171.291,30.46,7.791,20,0,0,0,45,14,0,0.45,0,18,1,1
179,113.12,247.603,35.484,8.265,22,0,1,0,61,12,2,4.65,0,18,0,4
180,69.46,165.246,29.659,4.649,20,0,0,0,50,7,0,3.0,0,14,1,5
181,91.56,209.565,27.433,3.283,21,0,1,0,52,11,1,3.6,0,15,3,3
