episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
103,0,6990.66,6990.66,8677.778,3178.235,211.126,2102,0,1977,428,42,64.050,0,369,1258,476
104,0,7050.66,7050.66,8774.313,3206.422,212.059,2122,0,2001,434,42,64.050,0,375,1266,482
105,0,7154.00,7154.00,8897.456,3237.348,212.292,2144,0,2027,444,44,67.050,0,380,1280,485
106,0,7249.32,7249.32,9015.517,3270.410,212.292,2165,0,2051,453,45,68.550,0,386,1294,486
107,0,7309.32,7309.32,9117.338,3305.964,212.376,2185,0,2076,460,45,68.550,0,390,1307,489
108,0,7395.00,7395.00,9227.115,3340.849,212.426,2206,0,2100,469,46,70.050,0,397,1318,492
109,0,7455.00,7455.00,9326.126,3366.533,212.659,2226,0,2124,479,46,70.050,0,404,1328,495
110,0,7515.00,7515.00,9423.442,3396.515,213.292,2246,0,2149,488,46,70.050,0,407,1340,500
111,0,7608.32,7608.32,9540.191,3428.408,214.025,2267,0,2176,498,47,71.550,0,410,1352,506
112,0,7675.34,7675.34,9653.708,3457.564,215.492,2288,0,2201,506,48,73.050,0,414,1365,510
113,0,7774.32,7774.32,9760.176,3487.321,216.008,2309,0,2224,516,49,74.550,0,418,1379,513
114,0,7834.32,7834.32,9865.620,3518.635,216.008,2329,0,2249,524,49,74.550,0,424,1391,515
115,0,7931.32,7931.32,9974.261,3546.991,216.625,2350,0,2271,533,50,76.050,0,429,1405,517
116,0,8024.80,8024.80,10089.160,3578.603,217.008,2371,0,2297,542,51,77.550,0,433,1419,520
117,0,8084.80,8084.80,10185.470,3607.638,217.358,2391,0,2321,550,51,77.550,0,438,1431,523
118,0,8180.00,8180.00,10315.250,3646.774,217.441,2413,0,2347,559,53,80.550,0,441,1445,528
119,0,8275.00,8275.00,10444.730,3690.844,218.341,2435,0,2375,566,55,83.550,0,446,1459,531
120,0,8335.00,8335.00,10544.230,3719.264,218.674,2455,0,2400,573,55,83.550,0,452,1470,534
121,0,8395.00,8395.00,10646.080,3763.348,218.674,2475,0,2425,583,55,83.550,0,459,1480,537
122,0,8455.00,8455.00,10747.890,3794.582,221.524,2495,0,2450,591,55,83.550,0,465,1492,539
123,0,8515.00,8515.00,10850.430,3821.898,222.223,2515,0,2475,598,55,83.550,0,469,1505,542
124,0,8605.80,8605.80,10963.190,3853.788,224.190,2536,0,2501,605,56,85.050,0,473,1517,547
125,0,8690.32,8690.32,11088.040,3888.403,225.123,2558,0,2528,614,58,88.051,0,478,1529,552
126,0,8750.32,8750.32,11193.350,3917.510,227.239,2578,0,2552,621,58,88.051,0,481,1543,555
127,0,8810.32,8810.32,11298.720,3943.829,227.905,2598,0,2577,629,58,88.051,0,488,1554,557
128,0,8870.32,8870.32,11404.580,3970.069,228.305,2618,0,2600,638,58,88.051,0,492,1569,558
129,0,8961.32,8961.32,11523.740,4002.467,230.155,2639,0,2627,645,59,89.551,0,498,1581,561
130,0,9021.32,9021.32,11625.050,4028.732,230.321,2659,0,2652,654,59,89.551,0,500,1592,568
131,0,9103.94,9103.94,11736.090,4061.048,231.804,2680,0,2676,661,60,91.051,0,503,1607,571
132,0,9163.94,9163.94,11838.530,4088.098,233.704,2700,0,2701,668,60,91.051,0,509,1618,574
