episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
91,44737.70,45490.10,752.40,3132.063,289.910,72.896,110,0,8,0,616,281,80,147.504,0,23,65,23,0
92,45490.10,46008.28,518.18,2236.047,177.940,44.571,79,0,5,0,474,216,49,115.125,0,27,41,11,0
93,46008.28,46619.28,611.00,2167.938,235.532,59.603,85,0,7,0,472,197,55,108.529,0,23,39,23,0
94,46619.28,47230.60,611.32,1367.250,154.048,26.174,60,0,6,0,367,121,30,69.255,0,17,20,23,0
95,47230.60,47624.06,393.46,925.750,155.358,20.346,49,0,3,0,244,84,19,48.255,0,9,20,20,0
96,47624.06,48298.98,674.92,3708.781,508.789,151.629,121,0,8,0,688,314,91,180.619,0,29,61,32,0
97,48298.98,49188.36,889.38,3976.281,393.828,55.673,132,0,10,0,786,332,102,192.801,0,30,64,38,0
98,49188.36,49768.90,580.54,2125.313,201.287,29.518,81,0,5,0,477,187,51,103.619,0,24,35,22,0
99,49768.90,50309.48,540.58,2434.938,284.746,65.553,88,0,6,0,515,207,58,116.553,0,18,38,32,0
100,50309.48,50854.00,544.52,1871.453,212.178,37.528,72,0,4,0,432,181,42,89.934,0,21,34,17,0
101,50854.00,51585.70,731.70,2486.859,250.955,39.275,93,0,9,0,558,223,63,128.133,0,35,39,19,0
102,51585.70,52219.22,633.52,2509.422,284.641,57.154,87,0,6,0,563,234,57,121.816,0,35,35,17,0
103,52219.22,52894.50,675.28,2312.641,250.410,56.002,86,0,6,0,508,220,56,113.094,0,32,38,16,0
104,52894.50,53758.30,863.80,4148.016,450.342,82.236,133,0,9,0,830,356,103,213.555,0,41,56,36,0
105,53758.30,54212.34,454.04,4225.156,461.397,123.179,133,0,6,0,603,338,103,209.043,0,18,92,24,0
106,54212.34,54765.60,553.26,2722.031,247.262,45.108,95,0,5,0,536,245,65,143.473,0,27,56,12,0
107,54765.60,55293.38,527.78,1332.344,172.156,30.522,60,0,4,0,329,125,30,65.871,0,14,31,15,0
108,55293.38,55965.50,672.12,3172.094,323.643,62.813,107,0,6,0,654,269,77,156.557,0,32,53,22,0
109,55965.50,56441.66,476.16,1255.672,164.455,27.381,60,0,4,0,307,104,30,62.111,0,6,28,26,0
110,56441.66,57080.42,638.76,2522.688,271.686,51.780,91,0,7,0,553,226,61,119.711,0,30,37,24,0
111,57080.42,57717.98,637.56,3093.125,275.652,53.436,106,0,7,0,627,268,76,158.813,0,29,48,29,0
112,57717.98,58694.00,976.02,3740.219,357.375,68.739,128,0,10,0,797,325,98,183.176,0,40,48,40,0
113,58694.00,59543.98,849.98,3917.578,491.592,146.151,130,0,10,0,803,334,100,196.711,0,46,57,28,0
114,59543.98,60143.98,600.00,2607.750,284.010,59.892,91,0,6,0,572,234,61,122.568,0,29,32,30,0
115,60143.98,61083.36,939.38,3531.422,398.766,88.387,120,0,9,0,714,319,90,173.852,0,35,62,23,0
116,61083.36,61818.82,735.46,3343.297,338.598,72.864,112,0,9,0,691,304,82,170.092,0,35,55,22,0
117,61818.82,62432.62,613.80,3015.875,287.125,63.459,101,0,6,0,590,276,71,157.760,0,28,53,20,0
118,62432.62,62932.22,499.60,1871.313,422.143,181.364,73,0,5,0,417,157,43,100.611,0,14,32,28,0
119,62932.22,63683.38,751.16,3137.359,309.758,73.288,105,0,7,0,635,274,75,145.428,0,34,54,17,0
120,63683.38,64414.52,731.14,3761.047,343.010,77.479,121,0,8,0,732,316,91,174.904,0,39,56,26,0
121,64414.52,64764.44,349.92,641.813,106.330,16.079,42,0,4,0,180,61,12,27.822,0,7,23,12,0
122,64764.44,65206.96,442.52,872.984,147.348,23.491,50,0,5,0,225,78,20,46.320,0,3,23,24,0
123,65206.96,65750.46,543.50,2952.844,325.369,86.934,100,0,5,0,563,270,70,147.984,0,33,57,10,0
124,65750.46,66431.10,680.64,2975.109,265.971,51.963,103,0,7,0,606,267,73,150.090,0,27,51,25,0
125,66431.10,67411.84,980.74,5052.406,456.285,83.240,154,0,11,0,960,436,124,250.100,0,54,65,35,0
126,67411.84,68233.18,821.34,4427.719,467.783,128.073,138,0,9,0,843,386,108,206.486,0,55,59,24,0
127,68233.18,68687.88,454.70,1481.375,193.432,39.537,64,0,4,0,362,129,34,61.961,0,13,27,24,0
128,68687.88,69295.50,607.62,2596.938,325.731,99.908,90,0,6,0,540,230,60,128.734,0,30,41,19,0
129,69295.50,70417.10,1121.60,3704.063,403.545,102.365,125,0,12,0,822,310,95,184.680,0,40,49,36,0
130,70417.10,71114.54,697.44,3628.094,331.637,74.998,114,0,7,0,679,316,84,179.717,0,33,62,19,0
131,71114.54,71731.32,616.78,1595.469,177.326,28.928,66,0,7,0,411,141,36,76.850,0,18,24,25,0
132,71731.32,72542.24,810.92,2694.656,295.035,46.227,95,0,8,0,645,227,65,127.080,0,37,26,33,0
133,72542.24,73117.24,575.00,2618.688,374.147,126.189,91,0,5,0,536,236,61,129.336,0,31,44,16,0
134,73117.24,73864.96,747.72,3384.375,324.391,78.965,110,0,7,0,670,295,80,161.520,0,37,52,21,0
135,73864.96,74568.78,703.82,2523.594,222.580,48.103,85,0,6,0,573,247,55,143.022,0,34,39,12,0
136,74568.78,75347.82,779.04,3899.750,655.301,308.947,127,0,9,0,733,328,97,209.043,0,34,61,32,0
137,75347.82,75933.40,585.58,2480.000,271.273,60.870,90,0,6,0,499,208,60,122.418,0,14,49,27,0
138,75933.40,76522.50,589.10,2593.625,253.602,46.709,92,0,6,0,575,207,62,134.750,0,28,29,35,0
139,76522.50,77105.50,583.00,1812.656,189.551,38.516,70,0,5,0,429,166,40,88.881,0,18,36,16,0
140,77105.50,77537.16,431.66,1006.188,118.113,18.826,49,0,3,0,275,92,19,45.117,0,12,19,18,0
141,77537.16,77931.50,394.34,626.094,115.100,18.270,42,0,3,0,167,51,12,29.025,0,3,22,17,0
142,77931.50,78513.26,581.76,1393.219,169.377,30.306,62,0,7,0,365,125,32,70.232,0,14,27,21,0
143,78513.26,79000.84,487.58,2370.688,200.145,40.093,82,0,5,0,475,211,52,120.313,0,22,45,15,0
144,79000.84,79455.04,454.20,938.125,145.924,35.801,49,0,4,0,246,88,19,43.313,0,6,24,19,0
145,79455.04,80048.92,593.88,2801.406,307.287,66.107,95,0,6,0,569,234,65,141.217,0,27,42,27,0
146,80048.92,80744.18,695.26,2554.375,264.945,58.421,90,0,7,0,573,224,60,123.020,0,29,36,25,0
147,80744.18,81446.50,702.32,2110.750,226.738,36.034,79,0,7,0,493,180,49,102.566,0,26,35,18,0
148,81446.50,82143.72,697.22,3111.750,377.764,90.611,103,0,7,0,630,284,73,154.301,0,32,52,19,0
149,82143.72,82769.78,626.06,3946.625,453.522,132.837,117,0,6,0,748,335,87,203.027,0,43,51,23,0
150,82769.78,83345.68,575.90,2768.531,321.006,150.751,95,0,6,0,550,232,65,137.006,0,22,46,27,0
151,83345.68,84235.00,889.32,3330.969,265.773,60.986,112,0,9,0,760,274,82,155.354,0,41,40,31,0
152,84235.00,85504.92,1269.92,3554.813,267.816,71.154,119,0,12,0,816,317,89,182.273,0,42,48,29,0
153,85504.92,86207.64,702.72,3582.563,264.395,65.385,117,0,6,0,686,284,87,178.063,0,26,55,37,0
154,86207.64,86872.38,664.74,3572.281,295.027,84.494,117,0,6,0,650,282,87,170.393,0,25,63,29,0
155,86872.38,87345.44,473.06,2150.344,141.297,32.273,74,0,4,0,452,206,44,113.545,0,26,35,13,0
156,87345.44,87700.70,355.26,906.719,85.996,16.676,47,0,2,0,220,89,17,43.763,0,8,25,14,0
157,87700.70,88083.16,382.46,868.875,153.711,69.569,48,0,3,0,230,82,18,45.418,0,5,27,16,0
158,88083.16,88656.40,573.24,2741.844,224.895,62.895,94,0,6,0,572,237,64,128.283,0,31,39,24,0
159,88656.40,89342.06,685.66,2335.625,217.867,43.421,88,0,7,0,485,204,58,114.898,0,17,48,23,0
160,89342.06,89847.36,505.30,2266.281,246.195,100.921,85,0,5,0,457,198,55,115.650,0,20,49,16,0
161,89847.36,90420.98,573.62,2084.813,193.926,56.694,81,0,6,0,446,182,51,108.281,0,18,42,21,0
162,90420.98,90928.42,507.44,2303.844,260.770,137.378,84,0,4,0,456,203,54,109.936,0,18,47,19,0
163,90928.42,91642.38,713.96,2533.563,192.406,53.225,87,0,6,0,594,223,57,119.109,0,34,29,24,0
164,91642.38,92344.90,702.52,3238.469,196.047,48.900,110,0,6,0,628,266,80,156.256,0,25,59,28,0
165,92344.90,92804.02,459.12,2126.063,258.481,91.026,78,0,4,0,454,186,48,103.168,0,22,36,20,0
166,92804.02,93349.46,545.44,1888.469,219.242,98.854,70,0,4,0,452,172,40,87.377,0,27,20,23,0
167,93349.46,93935.56,586.10,2473.063,210.035,36.889,86,0,5,0,514,229,56,125.727,0,26,44,18,0
168,93935.56,94485.98,550.42,2297.344,181.828,36.897,82,0,5,0,487,213,52,114.447,0,19,49,14,0
169,94485.98,95005.14,519.16,1672.063,148.871,47.356,65,0,5,0,404,157,35,89.332,0,19,26,20,0
170,95005.14,95531.86,526.72,1945.219,144.820,41.653,72,0,5,0,434,184,42,96.400,0,19,36,17,0
171,95531.86,95977.16,445.30,1732.813,183.168,38.109,69,0,4,0,397,146,39,90.535,0,22,30,19,0
172,95977.16,96385.94,408.78,945.625,118.008,40.915,49,0,4,0,252,85,19,50.531,0,8,20,21,0
173,96385.94,96660.98,275.04,681.469,67.344,20.021,42,0,2,0,199,63,12,30.529,0,5,20,17,0
174,96660.98,97154.56,493.58,2111.563,211.715,65.463,81,0,5,0,457,174,51,109.484,0,16,38,28,0
175,97154.56,97783.48,628.92,2010.313,186.981,64.538,77,0,6,0,468,184,47,104.371,0,26,28,23,0
176,97783.48,98252.00,468.52,1405.125,99.516,19.569,62,0,5,0,329,129,32,70.684,0,15,28,19,0
177,98252.00,98924.78,672.78,3056.875,240.535,76.359,102,0,6,0,592,252,72,160.316,0,21,51,30,0
